neighborhood,total_segments,total_length_ft,high_risk_segments,high_risk_length_ft,avg_risk_score,max_risk_score,avg_canopy_per_ft,total_miles,high_risk_miles,pct_high_risk
Outside City Limits,25452,2201209.035087624,4243,810966.2087411713,0.11865114035660353,0.3,0.07656584829367837,416.8956505847773,153.5920849888582,16.7
West Woodland,1377,99359.3681552411,225,21334.85665719379,0.12964924993917606,0.32098501892374154,58.77955918991581,18.818062150613844,4.040692548710945,16.3
Pinehurst,622,49030.635510764514,96,18443.69682724008,0.11899862261501636,0.15950476024356242,71.29607775478839,9.286105210372067,3.4931243990985004,15.4
Cedar Park,642,49384.67193563451,99,14786.339380892015,0.12338086883750318,0.2510732753715066,87.29968500866008,9.353157563567143,2.8004430645628817,15.4
Greenwood,2462,187221.46432369776,348,45837.272204887006,0.12441877767481048,0.234869636769581,66.46575308962505,35.458610667367,8.681301553955873,14.1
Roosevelt,1268,94230.62445837467,175,19808.024945627465,0.1263145107688536,0.25609883124874805,61.842869633865405,17.846709177722477,3.751519876065808,13.8
Montlake,866,60152.50307366808,117,10025.906077858266,0.12905248432598254,0.3171586244259464,90.5772703648635,11.392519521528046,1.898845848079217,13.5
Mid-Beacon Hill,2196,172413.65705826864,291,39233.14661750071,0.12421294175570835,0.3354747544892629,39.48110905457582,32.654101715581184,7.430520192708467,13.3
Genesee,1006,74525.26327296336,133,14474.55933267673,0.12603916807345017,0.2334877300217147,59.61993724253159,14.114633195637001,2.7413938130069564,13.2
High Point,647,55345.844416575805,85,15540.050451531424,0.12020590240229566,0.2223717346730847,52.9719077222973,10.482167503139356,2.943191373396103,13.1
Arbor Heights,941,72983.83383560821,116,20701.95983286231,0.11843692973972039,0.15603325425726366,63.00471259194911,13.822695802198524,3.920825725920892,12.3
Maple Leaf,1350,105957.82872039686,165,30366.649453983075,0.11833961573864876,0.16609823024172576,54.895729745680775,20.067770590984253,5.751259366284673,12.2
Rainier View,752,63760.775027911855,91,16930.55129736661,0.11900367092026579,0.1701534072013291,36.760838277140046,12.075904361346943,3.2065438063194334,12.1
Mann,614,43532.19112638489,72,8973.392301278494,0.12379880950927344,0.24688358886744255,78.68560708370596,8.244733167875927,1.6995061176663815,11.7
West Queen Anne,870,63504.10522873448,97,10919.987604545438,0.12461965761379623,0.24490273469341287,63.25128444588627,12.027292656957288,2.068179470557848,11.1
Windermere,206,14985.245949558483,22,2906.2619389364963,0.12176055044443222,0.23152811361384343,61.86804006767526,2.838114763173955,0.5504283975258516,10.7
North Beach/Blue Ridge,641,46539.557323958456,68,11217.17908663022,0.11966614768218665,0.23266383223884268,95.65636771262258,8.814310099234556,2.1244657361042085,10.6
Holly Park,57,4020.3153016988117,6,1079.1578345867856,0.11618085886895288,0.1437500747582791,40.96970774593489,0.7614233525944719,0.20438595352022454,10.5
South Beacon Hill,954,79417.20258572191,98,19509.816834135756,0.11885476868154868,0.16821513591978948,41.576756505680926,15.041136853356424,3.6950410670711658,10.3
Seward Park,1370,104756.79781201459,138,18124.268585908212,0.12231946288756793,0.24235075453305854,49.40640843662556,19.840302615911853,3.4326266261189797,10.1
Brighton,936,68089.24307247443,90,12195.609544458566,0.12024320646099881,0.24073307345302208,34.1250416536102,12.89568997584743,2.3097745349353347,9.6
Lawton Park,1297,100094.57711436992,101,18100.371601406572,0.11835641096947173,0.15908194516173302,63.00428749896653,18.957306271660972,3.428100682084578,7.8
Dunlap,699,50789.80923948943,44,7428.714817522106,0.11742495603391218,0.2260537233488794,43.33301871244164,9.619282052933604,1.4069535639246413,6.3
Alki,963,69345.2494872976,56,9636.668643420267,0.11683718469666803,0.14434975373813452,50.67726865495911,13.133569978654847,1.8251266370114143,5.8
Whittier Heights,751,58474.44794125168,42,6067.206029030244,0.1202406119793099,0.23202350595540255,55.84567447406539,11.074706049479484,1.1490920509526978,5.6
Sunset Hill,871,66276.93577614744,48,8603.043265844008,0.11824519296914647,0.15743120845268616,66.19102763346864,12.552449957603681,1.6293642548946985,5.5
South Lake Union,439,24247.688390787265,23,3060.0997204475616,0.11475845970880784,0.2621989718370041,33.11803827362276,4.5923652255278915,0.5795643409938563,5.2
Fauntleroy,856,65251.29348165909,44,7648.586143540821,0.11848418219525311,0.15083532010462386,72.06949382822415,12.358199523041495,1.4485958605190947,5.1
